timestamp,value
0,-2.0375
1,-2.025
2,-2.025
3,-2.025
4,-2.025
5,-2.0125
6,-2.0125
7,-2.0125
8,-2
9,-2
10,-1.9875
11,-1.975
12,-1.975
13,-1.9625
14,-1.95
15,-1.9375
16,-1.925
17,-1.9
18,-1.8875
19,-1.875
20,-1.85
21,-1.825
22,-1.8
23,-1.775
24,-1.7375
25,-1.7125
26,-1.675
27,-1.6375
28,-1.6
29,-1.5625
30,-1.525
31,-1.475
32,-1.425
33,-1.375
34,-1.325
35,-1.25
36,-1.2
37,-1.1375
38,-1.075
39,-1
40,-0.9375
41,-0.8625
42,-0.8
43,-0.7125
44,-0.6375
45,-0.5625
46,-0.475
47,-0.4
48,-0.3125
49,-0.225
50,-0.1375
51,-0.1125
52,0.075
53,0.125
54,0.2125
55,0.3
56,0.3625
57,0.45
58,0.5375
59,0.6125
60,0.6875
61,0.75
62,0.8375
63,0.9
64,0.9625
65,1.025
66,1.1
67,1.1625
68,1.225
69,1.275
70,1.3375
71,1.375
72,1.4375
73,1.4875
74,1.5125
75,1.575
76,1.6
77,1.6375
78,1.675
79,1.7
80,1.75
81,1.75
82,1.7875
83,1.825
84,1.85
85,1.8625
86,1.875
87,1.8875
88,1.8875
89,1.9125
90,1.9375
91,1.925
92,1.9375
93,1.9375
94,1.975
95,1.95
96,1.9625
97,1.9625
98,1.9625
99,1.975
100,1.975
101,1.975
102,1.9875
103,1.975
104,1.975
105,1.9875
106,1.975
107,1.975
108,1.975
109,1.975
110,1.975
111,1.9625
112,1.9625
113,1.95
114,1.95
115,1.95
116,1.9375
117,1.95
118,1.95
119,1.9125
120,1.9
121,1.9
122,1.8875
123,1.8625
124,1.85
125,1.825
126,1.8
127,1.8
128,1.775
129,1.7375
130,1.6875
131,1.675
132,1.65
133,1.6
134,1.5625
135,1.525
136,1.475
137,1.4375
138,1.4
139,1.3375
140,1.2875
141,1.25
142,1.1875
143,1.125
144,1.0625
145,1
146,0.925
147,0.8625
148,0.7875
149,0.7125
150,0.65
151,0.575
152,0.4875
153,0.425
154,0.3375
155,0.2625
156,0.1875
157,0.1125
158,0.0625
159,-0.0875
160,-0.15
161,-0.2375
162,-0.3125
163,-0.3875
164,-0.45
165,-0.5375
166,-0.6
167,-0.6875
168,-0.75
169,-0.8125
170,-0.8875
171,-0.95
172,-1
173,-1.075
174,-1.1375
175,-1.1875
176,-1.25
177,-1.2875
178,-1.35
179,-1.3875
180,-1.4375
181,-1.475
182,-1.5125
183,-1.55
184,-1.5875
185,-1.6125
186,-1.6375
187,-1.675
188,-1.7
189,-1.725
190,-1.75
191,-1.775
192,-1.7875
193,-1.8125
194,-1.825
195,-1.8375
